

Software Version	2.00.18



Plate Number	Plate 1
Date	12/6/2013
Time	12:50:51 PM
Reader Type:	Synergy H1
Reader Serial Number:	265564
Reading Type	Reader

Procedure Details

Plate Type	Corning 384 well 3573
Well Selection	Runtime
Read	Absorbance Endpoint
	Full Plate
	Wavelengths:  600
	Read Speed: Sweep,  Delay: 0 msec,  Measurements/Data Point: 1
Well Mode	
    Dispense	10 µL, Dispenser 2, Rate 225 µL/sec
	All wells
    Read	Luminescence Endpoint
	Full Plate
	Integration Time: 0:00.50 (MM:SS.ss)
	Filter Set 1
	    Emission: Full light
	    Optics: Top,  Gain: 100
	Read Speed: Normal,  Delay: 0 msec
	Extended Dynamic Range
	Read Height: 1 mm
End Mode	



Actual Temperature:	28.3

Results

Well ID	Well	Read 1:600	Read 2:Lum
SPL1	A1	0.728	32
SPL2	B1	0.824	37
SPL3	C1	0.736	24
SPL4	D1	0.691	28
SPL5	E1	0.813	36
SPL6	F1	0.036	6
SPL7	G1	0.036	6
SPL8	H1	0.780	22
SPL9	I1	0.708	94
SPL10	J1	0.576	226
SPL11	K1	0.759	26
SPL12	L1	0.812	24
SPL13	M1	0.799	15
SPL14	N1	0.621	26
SPL15	O1	0.108	9
SPL16	P1	0.069	7
SPL17	A2	0.702	50
SPL18	B2	0.772	44
SPL19	C2	0.687	37
SPL20	D2	0.860	25
SPL21	E2	0.760	31
SPL22	F2	0.598	45
SPL23	G2	0.036	6
SPL24	H2	0.697	27
SPL25	I2	0.698	111
SPL26	J2	0.755	126
SPL27	K2	0.726	32
SPL28	L2	0.745	26
SPL29	M2	0.695	25
SPL30	N2	0.691	20
SPL31	O2	0.386	22
SPL32	P2	0.222	12
SPL33	A3	0.036	6
SPL34	B3	0.658	41
SPL35	C3	0.036	6
SPL36	D3	0.666	22
SPL37	E3	0.777	41
SPL38	F3	0.597	35
SPL39	G3	0.036	7
SPL40	H3	0.731	23
SPL41	I3	0.701	96
SPL42	J3	0.710	102
SPL43	K3	0.683	26
SPL44	L3	0.751	25
SPL45	M3	0.709	30
SPL46	N3	0.718	21
SPL47	O3	0.657	21
SPL48	P3	0.759	21
SPL49	A4	0.688	45
SPL50	B4	0.585	56
SPL51	C4	0.733	34
SPL52	D4	0.764	29
SPL53	E4	0.780	39
SPL54	F4	0.036	6
SPL55	G4	0.036	6
SPL56	H4	0.774	28
SPL57	I4	0.763	102
