

Software Version	2.00.18



Plate Number	Plate 1
Date	12/6/2013
Time	2:27:25 PM
Reader Type:	Synergy H1
Reader Serial Number:	Unknown
Reading Type	Reader

Procedure Details

Plate Type	Corning 384 well 3573
Well Selection	Runtime
Read	Absorbance Endpoint
	Full Plate
	Wavelengths:  600
	Read Speed: Sweep,  Delay: 0 msec,  Measurements/Data Point: 1
Well Mode	
    Dispense	10 µL, Dispenser 2, Rate 225 µL/sec
	All wells
    Read	Luminescence Endpoint
	Full Plate
	Integration Time: 0:00.50 (MM:SS.ss)
	Filter Set 1
	    Emission: Full light
	    Optics: Top,  Gain: 100
	Read Speed: Normal,  Delay: 0 msec
	Extended Dynamic Range
	Read Height: 1 mm
End Mode	



Actual Temperature:	28.3

Results

Well ID	Well	Read 1:600	Read 2:Lum
SPL1	A1	1.212	43
SPL2	B1	1.227	60
SPL3	C1	0.095	8
SPL4	D1	1.007	4641
SPL5	E1	1.167	85
SPL6	F1	1.206	58
SPL7	G1	0.129	16
SPL8	H1	0.265	50
SPL9	I1	1.177	191
SPL10	J1	1.089	419
SPL11	K1	1.158	63
SPL12	L1	1.230	64
SPL13	M1	1.213	1770
SPL14	N1	1.247	2987
SPL15	O1	1.218	841
SPL16	P1	1.248	1277
SPL17	A2	1.280	43
SPL18	B2	1.227	65
SPL19	C2	1.099	4083
SPL20	D2	1.068	4866
SPL21	E2	1.238	80
SPL22	F2	1.239	70
SPL23	G2	0.255	45
SPL24	H2	0.223	49
SPL25	I2	1.126	403
SPL26	J2	1.150	354
SPL27	K2	1.262	72
SPL28	L2	1.221	54
SPL29	M2	1.255	3120
SPL30	N2	1.211	3499
SPL31	O2	1.245	1196
SPL32	P2	1.244	1291
SPL33	A3	1.154	218
SPL34	B3	1.102	311
SPL35	C3	0.605	1826
SPL36	D3	0.423	873
SPL37	E3	1.184	541
SPL38	F3	1.160	1043
SPL39	G3	1.181	329
SPL40	H3	1.164	636
SPL41	I3	1.079	369
SPL42	J3	0.736	191
SPL43	K3	1.251	56
SPL44	L3	1.239	76
SPL45	M3	1.263	2030
